Code,Description,Manufacturer,Official_Severity,Color_Raw,Operator_Action,Product_Type,Occurrences_2025,Containers_Affected,Containers_With_True_Failure,Empirical_Failure_Rate,Recommendation
42,Unit Forced to Low Speed,ThermoKing,Yellow,check,Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",54,29,11,37.93,MODERATE RISK | Empirical failure rate: 38%. Follow TK operator action guidelines. | TK action: Report alarm at end of day.
26,Check Refrigeration Capacity (Zone),ThermoKing,Yellow,check,Manually monitor temperature. Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",12,11,4,36.36,MODERATE RISK | Empirical failure rate: 36%. Follow TK operator action guidelines. | TK action: Manually monitor temperature. Report alarm at end of day.
5014,Check Starter Solenoid Circuit,Carrier,Red,take action,Report and repair immediately.,Carrier APX,58,23,8,34.78,"MODERATE RISK | Officially severe but lower empirical failure rate. Service recommended, may not always escalate. | Carrier action: Report and repair immediately."
51,Check Shutdown Circuit,ThermoKing,Red,take action,"If unit/zone is shut down repair immediately. Otherwise, report alarm at end of day.","Truck, trailer, CR, DAS, DSR",28,12,4,33.33,"MODERATE RISK | Officially severe but lower empirical failure rate. Service recommended, may not always escalate. | TK action: If unit/zone is shut down repair immediately. Otherwise, report alarm at end of day."
51,Alternator (Battery Charger) Not Charging,Carrier,Red,take action,Report and repair immediately.,Carrier APX,28,12,4,33.33,"MODERATE RISK | Officially severe but lower empirical failure rate. Service recommended, may not always escalate. | Carrier action: Report and repair immediately."
15,Check Glow Plugs or Intake Air Heater,ThermoKing,Yellow,check,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.","Truck, trailer, CR, DAS, DSR",4,3,1,33.33,"MODERATE RISK | Empirical failure rate: 33%. Follow TK operator action guidelines. | TK action: If unit is shut down repair immediately. Otherwise, report alarm at end of day."
97,Failed Remote Return Air Sensor (CR),ThermoKing,Red,take action,"If unit/zone is shut down repair immediately. Otherwise, report alarm at end of day.","Truck, trailer, CR, DAS, DSR",4,3,1,33.33,"MODERATE RISK | Officially severe but lower empirical failure rate. Service recommended, may not always escalate. | TK action: If unit/zone is shut down repair immediately. Otherwise, report alarm at end of day."
529,Check Fuel Pump Circuit,ThermoKing,Yellow,check,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.",Precedent 500 Series,4,3,1,33.33,"MODERATE RISK | Empirical failure rate: 33%. Follow TK operator action guidelines. | TK action: If unit is shut down repair immediately. Otherwise, report alarm at end of day."
615,Rail Pressure Fault,ThermoKing,Yellow,check,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.","Precedent 600 Series, DTC",4,3,1,33.33,"MODERATE RISK | Empirical failure rate: 33%. Follow TK operator action guidelines. | TK action: If unit is shut down repair immediately. Otherwise, report alarm at end of day."
85,Forced Unit Operation,ThermoKing,Green,ok,Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",3,3,1,33.33,MODERATE RISK | Officially informational but ELEVATED empirical failure rate. Investigate further. | TK action: Report alarm at end of day.
84,Restart Null,ThermoKing,Green,ok,Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",9,7,2,28.57,MODERATE RISK | Informational. No immediate action needed. | TK action: Report alarm at end of day.
22101,Sensor Input Voltage Low INP1,Carrier,Yellow,check,Check and repair at end of trip.,Carrier APX,11,4,1,25.0,MODERATE RISK | Empirical failure rate: 25%. Follow Carrier operator action guidelines. | Carrier action: Check and repair at end of trip.
29,Defrost Damper Circuit Check (Zone),ThermoKing,Yellow,check,Manually monitor temperature. Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",8,4,1,25.0,MODERATE RISK | Empirical failure rate: 25%. Follow TK operator action guidelines. | TK action: Manually monitor temperature. Report alarm at end of day.
63,Engine or Vapor Motor Stopped,ThermoKing,Red,take action,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.","Truck, trailer, CR, DAS, DSR",5,4,1,25.0,"MODERATE RISK | Officially severe but lower empirical failure rate. Service recommended, may not always escalate. | TK action: If unit is shut down repair immediately. Otherwise, report alarm at end of day."
98,Check Fuel Level Sensor,ThermoKing,Green,ok,Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",5,4,1,25.0,MODERATE RISK | Informational. No immediate action needed. | TK action: Report alarm at end of day.
63,C3 Box Temp Out of Range,Carrier,Yellow,check,"Reset*, report reactivation.",Carrier APX,5,4,1,25.0,"MODERATE RISK | Empirical failure rate: 25%. Follow Carrier operator action guidelines. | Carrier action: Reset*, report reactivation."
11,Unit or Zone Controlling on Alternate Sensor (Zone),ThermoKing,Yellow,check,Manually monitor temperature. Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",15,9,2,22.22,MODERATE RISK | Empirical failure rate: 22%. Follow TK operator action guidelines. | TK action: Manually monitor temperature. Report alarm at end of day.
54,Test Mode Timeout,ThermoKing,Green,ok,Clear alarm and restart unit.,"Truck, trailer, CR, DAS, DSR",118,41,9,21.95,MODERATE RISK | Informational. No immediate action needed. | TK action: Clear alarm and restart unit.
54,Defrost Not Complete,Carrier,Yellow,check,Check and repair at end of trip.,Carrier APX,118,41,9,21.95,MODERATE RISK | Empirical failure rate: 22%. Follow Carrier operator action guidelines. | Carrier action: Check and repair at end of trip.
13,Sensor Check (Zone),ThermoKing,Yellow,check,Manually monitor temperature. Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",31,18,3,16.67,LOW RISK | Monitor condition. Report at next stop per TK manual. | TK action: Manually monitor temperature. Report alarm at end of day.
3001,Engine Load Calibration,Carrier,Yellow,check,"Reset, report reactivation.",Carrier APX,6,6,1,16.67,"LOW RISK | Monitor condition. Report at next stop per Carrier manual. | Carrier action: Reset, report reactivation."
7,Check Engine RPM Sensor,ThermoKing,Green,ok,Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",28,13,2,15.38,LOW RISK | Informational. No immediate action needed. | TK action: Report alarm at end of day.
603,Check Exhaust Pressure Sensor,ThermoKing,Green,ok,Report alarm at end of day.,"Precedent 600 Series, DTC",16,7,1,14.29,LOW RISK | Informational. No immediate action needed. | TK action: Report alarm at end of day.
204,Check Display Discharge Air Sensor (Zone),ThermoKing,Yellow,check,Manually monitor temperature. Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",10,7,1,14.29,LOW RISK | Monitor condition. Report at next stop per TK manual. | TK action: Manually monitor temperature. Report alarm at end of day.
28,Pretrip or Self Check Abort,ThermoKing,Green,ok,Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",18,16,2,12.5,LOW RISK | Informational. No immediate action needed. | TK action: Report alarm at end of day.
126,Check Back Pressure Regulator (CR),ThermoKing,Yellow,check,Manually monitor load temperature. Report this alarm at the end of the day.,"Truck, trailer, CR, DAS, DSR",18,9,1,11.11,LOW RISK | Monitor condition. Report at next stop per TK manual. | TK action: Manually monitor load temperature. Report this alarm at the end of the day.
126,Check Fuel Sensor Circuit,Carrier,Yellow,check,Check and repair at end of trip.,Carrier APX,18,9,1,11.11,LOW RISK | Monitor condition. Report at next stop per Carrier manual. | Carrier action: Check and repair at end of trip.
5021,Check Htr Cntr Two,Carrier,Yellow,check,"Reset, report reactivation.",Carrier APX,13,1,0,0.0,"MINIMAL RISK | Monitor condition. Report at next stop per Carrier manual. | Carrier action: Reset, report reactivation."
78,Data Log EPROM Failure,ThermoKing,Red,take action,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.","Truck, trailer, CR, DAS, DSR",5,2,0,0.0,"MINIMAL RISK | Officially severe but lower empirical failure rate. Service recommended, may not always escalate. | TK action: If unit is shut down repair immediately. Otherwise, report alarm at end of day."
122,Check Diesel/Electric Circuit,ThermoKing,Yellow,check,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.","Truck, trailer, CR, DAS, DSR",4,2,0,0.0,"MINIMAL RISK | Monitor condition. Report at next stop per TK manual. | TK action: If unit is shut down repair immediately. Otherwise, report alarm at end of day."
607,Check Fuel Temperature Sensor,ThermoKing,Green,ok,Report alarm at end of day.,"Precedent 600 Series, DTC",4,1,0,0.0,MINIMAL RISK | Informational. No immediate action needed. | TK action: Report alarm at end of day.
122,Check Return Air Sensor,Carrier,Yellow,check,"If shut down, repair immediately. Otherwise, report and repair at end of trip.",Carrier APX,4,2,0,0.0,"MINIMAL RISK | Monitor condition. Report at next stop per Carrier manual. | Carrier action: If shut down, repair immediately. Otherwise, report and repair at end of trip."
5010,Check Standby Contactor2,Carrier,Red,take action,Report and repair immediately.,Carrier APX,4,3,0,0.0,"MINIMAL RISK | Officially severe but lower empirical failure rate. Service recommended, may not always escalate. | Carrier action: Report and repair immediately."
31,Check Oil Pressure Switch,ThermoKing,Yellow,check,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.","Truck, trailer, CR, DAS, DSR",3,3,0,0.0,"MINIMAL RISK | Monitor condition. Report at next stop per TK manual. | TK action: If unit is shut down repair immediately. Otherwise, report alarm at end of day."
36,Electric Motor Failed to Run,ThermoKing,Red,take action,Unit cannot operate and is shut down. Repair immediately. Switch to Diesel Mode,"Truck, trailer, CR, DAS, DSR",3,3,0,0.0,"MINIMAL RISK | Officially severe but lower empirical failure rate. Service recommended, may not always escalate. | TK action: Unit cannot operate and is shut down. Repair immediately. Switch to Diesel Mode"
68,Internal Controller Fault Code,ThermoKing,Red,take action,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.","Truck, trailer, CR, DAS, DSR",3,3,0,0.0,"MINIMAL RISK | Officially severe but lower empirical failure rate. Service recommended, may not always escalate. | TK action: If unit is shut down repair immediately. Otherwise, report alarm at end of day."
604,Check Coolant Temp Sensor,ThermoKing,Green,ok,Report alarm at end of day.,"Precedent 600 Series, DTC",3,1,0,0.0,MINIMAL RISK | Informational. No immediate action needed. | TK action: Report alarm at end of day.
36,Check Coolant Temp,Carrier,Yellow,check,Check and repair at end of trip.,Carrier APX,3,3,0,0.0,MINIMAL RISK | Monitor condition. Report at next stop per Carrier manual. | Carrier action: Check and repair at end of trip.
10,High Discharge Pressure (or Temperature),ThermoKing,Red,take action,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.","Truck, trailer, CR, DAS, DSR",2,1,0,0.0,"MINIMAL RISK | Officially severe but lower empirical failure rate. Service recommended, may not always escalate. | TK action: If unit is shut down repair immediately. Otherwise, report alarm at end of day."
123,Check Evap Coil Inlet Temp Sensor (CR),ThermoKing,Yellow,check,Manually monitor temperature. Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",2,1,0,0.0,MINIMAL RISK | Monitor condition. Report at next stop per TK manual. | TK action: Manually monitor temperature. Report alarm at end of day.
123,Check Supply Air Sensor,Carrier,Unknown,,,Carrier APX,2,1,0,0.0,MINIMAL RISK | Empirical failure rate: 0%. Follow Carrier operator action guidelines.
229,Service Soon PM 4 Due,Carrier,Yellow,check,Check and repair at end of trip.,Carrier APX,2,1,0,0.0,MINIMAL RISK | Monitor condition. Report at next stop per Carrier manual. | Carrier action: Check and repair at end of trip.
20,Engine (Vapor Motor CR) Failed to Start,ThermoKing,Yellow,check,"If unit/zone is shut down repair immediately. Otherwise, report alarm at end of day.","Truck, trailer, CR, DAS, DSR",1,1,0,0.0,"MINIMAL RISK | Monitor condition. Report at next stop per TK manual. | TK action: If unit/zone is shut down repair immediately. Otherwise, report alarm at end of day."
32,Refrigeration Capacity Low (Zone),ThermoKing,Red,take action,Unit/zone cannot operate and is shut down. Repair immediately.,"Truck, trailer, CR, DAS, DSR",1,1,0,0.0,"MINIMAL RISK | Officially severe but lower empirical failure rate. Service recommended, may not always escalate. | TK action: Unit/zone cannot operate and is shut down. Repair immediately."
34,Check Modulation Circuit,ThermoKing,Yellow,check,Manually monitor temperature. Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",1,1,0,0.0,MINIMAL RISK | Monitor condition. Report at next stop per TK manual. | TK action: Manually monitor temperature. Report alarm at end of day.
40,Check High Speed Circuit,ThermoKing,Yellow,check,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.","Truck, trailer, CR, DAS, DSR",1,1,0,0.0,"MINIMAL RISK | Monitor condition. Report at next stop per TK manual. | TK action: If unit is shut down repair immediately. Otherwise, report alarm at end of day."
44,Check Fuel System,ThermoKing,Red,take action,"Add fuel as necessary. Otherwise, report alarm at end of day.","Truck, trailer, CR, DAS, DSR",1,1,0,0.0,"MINIMAL RISK | Officially severe but lower empirical failure rate. Service recommended, may not always escalate. | TK action: Add fuel as necessary. Otherwise, report alarm at end of day."
94,Check Loader #1 Circuit,ThermoKing,Green,ok,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.","Truck, trailer, CR, DAS, DSR",1,1,0,0.0,"MINIMAL RISK | Informational. No immediate action needed. | TK action: If unit is shut down repair immediately. Otherwise, report alarm at end of day."
95,Check Loader #2 Circuit,ThermoKing,Green,ok,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.","Truck, trailer, CR, DAS, DSR",1,1,0,0.0,"MINIMAL RISK | Informational. No immediate action needed. | TK action: If unit is shut down repair immediately. Otherwise, report alarm at end of day."
128,Engine Run Time Maint Reminder #1/Service Due,ThermoKing,Green,ok,Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",1,1,0,0.0,MINIMAL RISK | Informational. No immediate action needed. | TK action: Report alarm at end of day.
129,Engine Run Time Maint Reminder #2,ThermoKing,Green,ok,Report alarm at end of day.,"Truck, trailer, CR, DAS, DSR",1,1,0,0.0,MINIMAL RISK | Informational. No immediate action needed. | TK action: Report alarm at end of day.
137,Check Damper Motor Heater Output,ThermoKing,Yellow,check,"If unit/zone is shut down repair immediately. Otherwise, report alarm at end of day.","Truck, trailer, CR, DAS, DSR",1,1,0,0.0,"MINIMAL RISK | Monitor condition. Report at next stop per TK manual. | TK action: If unit/zone is shut down repair immediately. Otherwise, report alarm at end of day."
519,Check Battery Charger Input Power,ThermoKing,Yellow,check,"If unit is shut down repair immediately. Otherwise, report alarm at end of day.",Precedent 500 Series,1,1,0,0.0,"MINIMAL RISK | Monitor condition. Report at next stop per TK manual. | TK action: If unit is shut down repair immediately. Otherwise, report alarm at end of day."
552,Battery Charger Charging – Low Battery,ThermoKing,Green,ok,nan,Precedent 500 Series,1,1,0,0.0,MINIMAL RISK | Informational. No immediate action needed.
609,Check Intake Pressure Sensor,ThermoKing,Green,ok,Report alarm at end of day.,"Precedent 600 Series, DTC",1,1,0,0.0,MINIMAL RISK | Informational. No immediate action needed. | TK action: Report alarm at end of day.
619,ECU Main Relay Fault,ThermoKing,Green,ok,Report alarm at end of day.,"Precedent 600 Series, DTC",1,1,0,0.0,MINIMAL RISK | Informational. No immediate action needed. | TK action: Report alarm at end of day.
